,Air Quality Index,Components,Time
88,{'aqi': 3},"{'co': 460.62, 'no': 22.35, 'no2': 56.89, 'o3': 18.24, 'so2': 179.29, 'pm2_5': 11.13, 'pm10': 12.23, 'nh3': 0.53}",1672826400
89,{'aqi': 3},"{'co': 447.27, 'no': 22.8, 'no2': 63.06, 'o3': 5.1, 'so2': 165.94, 'pm2_5': 12.78, 'pm10': 14.13, 'nh3': 0.63}",1672830000
90,{'aqi': 3},"{'co': 380.52, 'no': 15.65, 'no2': 57.58, 'o3': 0.96, 'so2': 127.79, 'pm2_5': 11.24, 'pm10': 12.63, 'nh3': 0.58}",1672833600
91,{'aqi': 3},"{'co': 340.46, 'no': 12.07, 'no2': 47.98, 'o3': 1.3, 'so2': 94.41, 'pm2_5': 14.87, 'pm10': 16.46, 'nh3': 0.65}",1672837200
92,{'aqi': 3},"{'co': 340.46, 'no': 13.75, 'no2': 43.87, 'o3': 1.02, 'so2': 89.65, 'pm2_5': 21.36, 'pm10': 23.3, 'nh3': 0.79}",1672840800
93,{'aqi': 3},"{'co': 340.46, 'no': 14.98, 'no2': 44.55, 'o3': 0.8200000000000001, 'so2': 91.55, 'pm2_5': 24.96, 'pm10': 27.12, 'nh3': 0.86}",1672844400
94,{'aqi': 3},"{'co': 317.1, 'no': 11.06, 'no2': 45.93, 'o3': 1.81, 'so2': 85.83, 'pm2_5': 23.63, 'pm10': 25.77, 'nh3': 0.8200000000000001}",1672848000
95,{'aqi': 2},"{'co': 297.07, 'no': 6.03, 'no2': 46.61, 'o3': 4.07, 'so2': 78.2, 'pm2_5': 18.85, 'pm10': 20.6, 'nh3': 0.71}",1672851600
96,{'aqi': 2},"{'co': 280.38, 'no': 2.43, 'no2': 44.55, 'o3': 8.76, 'so2': 57.7, 'pm2_5': 12.45, 'pm10': 13.71, 'nh3': 0.47000000000000003}",1672855200
97,{'aqi': 3},"{'co': 287.06, 'no': 1.63, 'no2': 48.67, 'o3': 12.7, 'so2': 99.18, 'pm2_5': 4.61, 'pm10': 5.19, 'nh3': 0.29}",1672858800
98,{'aqi': 3},"{'co': 290.39, 'no': 1.63, 'no2': 47.98, 'o3': 12.16, 'so2': 95.37, 'pm2_5': 4.04, 'pm10': 4.57, 'nh3': 0.27}",1672862400
99,{'aqi': 3},"{'co': 290.39, 'no': 1.77, 'no2': 47.98, 'o3': 11.44, 'so2': 95.37, 'pm2_5': 3.81, 'pm10': 4.3, 'nh3': 0.27}",1672866000
100,{'aqi': 3},"{'co': 313.76, 'no': 5.48, 'no2': 52.78, 'o3': 4.5600000000000005, 'so2': 106.81, 'pm2_5': 4.95, 'pm10': 5.55, 'nh3': 0.34}",1672869600
101,{'aqi': 3},"{'co': 347.14, 'no': 16.32, 'no2': 50.72, 'o3': 0.42, 'so2': 122.07, 'pm2_5': 6.59, 'pm10': 7.38, 'nh3': 0.42}",1672873200
102,{'aqi': 3},"{'co': 363.83, 'no': 25.7, 'no2': 47.3, 'o3': 0.08, 'so2': 135.42, 'pm2_5': 7.92, 'pm10': 8.88, 'nh3': 0.47000000000000003}",1672876800
103,{'aqi': 3},"{'co': 393.87, 'no': 36.21, 'no2': 45.24, 'o3': 0.02, 'so2': 107.77, 'pm2_5': 16.92, 'pm10': 18.38, 'nh3': 0.59}",1672880400
104,{'aqi': 3},"{'co': 447.27, 'no': 49.17, 'no2': 46.61, 'o3': 0, 'so2': 110.63, 'pm2_5': 33.11, 'pm10': 35.5, 'nh3': 0.96}",1672884000
105,{'aqi': 3},"{'co': 494, 'no': 56.77, 'no2': 50.04, 'o3': 0.05, 'so2': 158.31, 'pm2_5': 45.17, 'pm10': 48.52, 'nh3': 1.5}",1672887600
106,{'aqi': 3},"{'co': 433.92, 'no': 43.36, 'no2': 48.67, 'o3': 3.5300000000000002, 'so2': 154.5, 'pm2_5': 40.29, 'pm10': 43.89, 'nh3': 1.3900000000000001}",1672891200
107,{'aqi': 3},"{'co': 423.91, 'no': 42.47, 'no2': 43.53, 'o3': 13.77, 'so2': 125.89, 'pm2_5': 37.03, 'pm10': 40.29, 'nh3': 1.11}",1672894800
108,{'aqi': 3},"{'co': 453.95, 'no': 49.17, 'no2': 40.44, 'o3': 23.96, 'so2': 105.86, 'pm2_5': 36.23, 'pm10': 39.14, 'nh3': 0.8}",1672898400
109,{'aqi': 3},"{'co': 520.71, 'no': 61.69, 'no2': 45.24, 'o3': 27.89, 'so2': 200.27, 'pm2_5': 25.37, 'pm10': 27.54, 'nh3': 0.5700000000000001}",1672902000
110,{'aqi': 3},"{'co': 560.76, 'no': 70.63, 'no2': 50.04, 'o3': 26.82, 'so2': 221.25, 'pm2_5': 25.48, 'pm10': 27.71, 'nh3': 0.52}",1672905600
111,{'aqi': 3},"{'co': 520.71, 'no': 63.48, 'no2': 50.04, 'o3': 25.39, 'so2': 217.44, 'pm2_5': 20.99, 'pm10': 22.98, 'nh3': 0.5}",1672909200
112,{'aqi': 3},"{'co': 407.22, 'no': 37.1, 'no2': 47.98, 'o3': 26.46, 'so2': 181.2, 'pm2_5': 11.84, 'pm10': 13.03, 'nh3': 0.39}",1672912800
113,{'aqi': 3},"{'co': 453.95, 'no': 36.21, 'no2': 64.43, 'o3': 11.27, 'so2': 207.9, 'pm2_5': 13.06, 'pm10': 14.33, 'nh3': 0.53}",1672916400
114,{'aqi': 4},"{'co': 567.44, 'no': 48.73, 'no2': 82.94, 'o3': 0.30000000000000004, 'so2': 263.21, 'pm2_5': 17.36, 'pm10': 19.02, 'nh3': 0.78}",1672920000
115,{'aqi': 3},"{'co': 734.33, 'no': 80.47, 'no2': 87.74, 'o3': 0, 'so2': 190.73, 'pm2_5': 37.82, 'pm10': 40.37, 'nh3': 1}",1672923600
116,{'aqi': 4},"{'co': 807.76, 'no': 101.03, 'no2': 82.94, 'o3': 0, 'so2': 122.07, 'pm2_5': 62.04, 'pm10': 65.74, 'nh3': 1.06}",1672927200
117,{'aqi': 4},"{'co': 674.25, 'no': 84.94, 'no2': 67.17, 'o3': 0, 'so2': 123.98, 'pm2_5': 62.11, 'pm10': 66.4, 'nh3': 1.25}",1672930800
118,{'aqi': 3},"{'co': 447.27, 'no': 46.49, 'no2': 50.72, 'o3': 0.01, 'so2': 122.07, 'pm2_5': 43.06, 'pm10': 46.87, 'nh3': 1.2}",1672934400
119,{'aqi': 3},"{'co': 337.12, 'no': 25.26, 'no2': 43.53, 'o3': 0.14, 'so2': 99.18, 'pm2_5': 28.93, 'pm10': 31.84, 'nh3': 0.9}",1672938000
120,{'aqi': 2},"{'co': 293.73, 'no': 13.52, 'no2': 39.41, 'o3': 0.7000000000000001, 'so2': 75.34, 'pm2_5': 17.64, 'pm10': 19.67, 'nh3': 0.5700000000000001}",1672941600
121,{'aqi': 2},"{'co': 277.04, 'no': 7.71, 'no2': 37.36, 'o3': 1.9, 'so2': 61.99, 'pm2_5': 11.96, 'pm10': 13.44, 'nh3': 0.38}",1672945200
122,{'aqi': 2},"{'co': 277.04, 'no': 6.09, 'no2': 37.7, 'o3': 2.59, 'so2': 55.79, 'pm2_5': 10.55, 'pm10': 11.82, 'nh3': 0.30000000000000004}",1672948800
123,{'aqi': 2},"{'co': 290.39, 'no': 7.38, 'no2': 38.73, 'o3': 1.88, 'so2': 55.31, 'pm2_5': 10.94, 'pm10': 12.18, 'nh3': 0.27}",1672952400
124,{'aqi': 2},"{'co': 317.1, 'no': 13.63, 'no2': 39.76, 'o3': 0.5, 'so2': 57.22, 'pm2_5': 13.01, 'pm10': 14.34, 'nh3': 0.24}",1672956000
125,{'aqi': 2},"{'co': 353.81, 'no': 21.9, 'no2': 40.78, 'o3': 0.12, 'so2': 60.08, 'pm2_5': 15, 'pm10': 16.49, 'nh3': 0.27}",1672959600
126,{'aqi': 2},"{'co': 407.22, 'no': 29.95, 'no2': 45.93, 'o3': 0.03, 'so2': 73.43, 'pm2_5': 17.64, 'pm10': 19.48, 'nh3': 0.35000000000000003}",1672963200
127,{'aqi': 3},"{'co': 514.03, 'no': 50.07, 'no2': 53.47, 'o3': 0, 'so2': 103.95, 'pm2_5': 28.21, 'pm10': 30.78, 'nh3': 0.47000000000000003}",1672966800
128,{'aqi': 3},"{'co': 640.87, 'no': 77.78, 'no2': 56.89, 'o3': 0, 'so2': 103, 'pm2_5': 46.9, 'pm10': 50.28, 'nh3': 0.74}",1672970400
129,{'aqi': 4},"{'co': 774.38, 'no': 103.71, 'no2': 61.01, 'o3': 0.02, 'so2': 107.77, 'pm2_5': 66.46, 'pm10': 70.83, 'nh3': 0.92}",1672974000
130,{'aqi': 4},"{'co': 754.36, 'no': 101.03, 'no2': 58.95, 'o3': 1.32, 'so2': 98.23, 'pm2_5': 67.7, 'pm10': 72.38, 'nh3': 0.8200000000000001}",1672977600
131,{'aqi': 4},"{'co': 781.06, 'no': 109.08, 'no2': 56.89, 'o3': 4.47, 'so2': 109.67, 'pm2_5': 71.67, 'pm10': 76.47, 'nh3': 0.79}",1672981200
132,{'aqi': 5},"{'co': 947.95, 'no': 141.26, 'no2': 61.01, 'o3': 7.15, 'so2': 141.14, 'pm2_5': 88.46, 'pm10': 93.82, 'nh3': 0.79}",1672984800
133,{'aqi': 5},"{'co': 921.25, 'no': 126.96, 'no2': 76.09, 'o3': 13.05, 'so2': 488.28, 'pm2_5': 47.96, 'pm10': 53.1, 'nh3': 0}",1672988400
134,{'aqi': 5},"{'co': 767.71, 'no': 98.35, 'no2': 65.12, 'o3': 15.2, 'so2': 373.84, 'pm2_5': 34.5, 'pm10': 39.62, 'nh3': 0}",1672992000
135,{'aqi': 4},"{'co': 627.52, 'no': 70.63, 'no2': 58.95, 'o3': 15.74, 'so2': 286.1, 'pm2_5': 23.86, 'pm10': 28.37, 'nh3': 0}",1672995600
136,{'aqi': 3},"{'co': 554.08, 'no': 46.49, 'no2': 65.12, 'o3': 8.23, 'so2': 238.42, 'pm2_5': 17.93, 'pm10': 21.89, 'nh3': 0}",1672999200
